Feature,Coefficient,Abs_Coefficient
Condition1_RRAn,168.86104590028262,168.86104590028262
Electrical_FuseP,165.60812692337385,165.60812692337385
MoSold,-156.94055615972866,156.94055615972866
ExterQual_Fa,150.93286609885467,150.93286609885467
Exterior1st_CBlock,-142.82245482755496,142.82245482755496
Exterior2nd_CBlock,-142.82245482755474,142.82245482755474
Foundation_Slab,-141.57542497549284,141.57542497549284
GarageCond_Po,141.22546211617538,141.22546211617538
Exterior1st_VinylSd,-129.79138626995123,129.79138626995123
Exterior1st_AsphShn,-128.68843060845217,128.68843060845217
GarageYrBlt,124.84722472865197,124.84722472865197
Heating_GasA,-121.84755655991033,121.84755655991033
MSZoning_RH,-117.15624151201665,117.15624151201665
Condition1_RRNe,110.80320274684708,110.80320274684708
RoofStyle_Gambrel,106.92364530445897,106.92364530445897
ExterCond_Gd,105.99872120027702,105.99872120027702
SaleCondition_Normal,100.60170244930282,100.60170244930282
Heating_Wall,96.91844885617371,96.91844885617371
LotConfig_Inside,-92.47175706856852,92.47175706856852
MiscFeature_Shed,-92.22197764189575,92.22197764189575
RoofMatl_Metal,89.1660820241187,89.1660820241187
BsmtFinType2_GLQ,86.80194639131396,86.80194639131396
Exterior1st_MetalSd,-84.44703258952104,84.44703258952104
HouseStyle_1Story,83.62553339837106,83.62553339837106
BsmtFinType2_Unf,-79.49229164471541,79.49229164471541
Fence_GdWo,-77.85270396579584,77.85270396579584
Electrical_SBrkr,-65.1106932248831,65.1106932248831
Exterior2nd_Stone,-62.08208048409253,62.08208048409253
Functional_Mod,-62.00476619437689,62.00476619437689
ExterCond_TA,-60.13875181593588,60.13875181593588
Neighborhood_Blueste,-59.03915362688219,59.03915362688219
SaleType_ConLw,58.91884785073776,58.91884785073776
GarageType_Basment,-57.257764697415915,57.257764697415915
BedroomAbvGr,-52.78929001084511,52.78929001084511
BsmtUnfSF,52.23847314262916,52.23847314262916
GarageType_Attchd,50.33669144349268,50.33669144349268
Neighborhood_Timber,45.74220463739301,45.74220463739301
ExterCond_Fa,-42.42706731027875,42.42706731027875
MiscVal,-40.1219149967186,40.1219149967186
SaleType_Oth,39.385942645341366,39.385942645341366
KitchenQual_Fa,36.62185567705772,36.62185567705772
OpenPorchSF,36.09479031966644,36.09479031966644
HasGarage,21.5354922688101,21.5354922688101
GarageType_None,-21.535492268800596,21.535492268800596
GarageCond_None,-21.535492268800546,21.535492268800546
GarageFinish_None,-21.535492268800546,21.535492268800546
GarageQual_None,-21.53549226880052,21.53549226880052
BsmtCond_Gd,21.48073492029095,21.48073492029095
Condition1_RRNn,-21.3935944203846,21.3935944203846
HouseStyle_2Story,-17.312385433500214,17.312385433500214
HeatingQC_Po,14.461518938057774,14.461518938057774
Neighborhood_BrDale,9.867843695095855,9.867843695095855
Alley_None,9.781733453105618,9.781733453105618
GarageCond_TA,-2.240007251747004,2.240007251747004
RoofMatl_Membran,0.0,0.0
Condition2_PosA,0.0,0.0
Electrical_Mix,0.0,0.0
Condition2_RRNn,0.0,0.0
Exterior1st_ImStucc,0.0,0.0
